,Unnamed: 0,accommodates,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price,amenities__Dryer,amenities__Other_pet(s),amenities__Carbon_Monoxide_Detector,amenities__,amenities__Iron,amenities__Elevator_in_Building,amenities__Cable_TV,amenities__Heating,amenities__Shampoo,amenities__Wireless_Internet,amenities__Dog(s),amenities__Doorman,amenities__24-Hour_Check-in,amenities__TV,amenities__First_Aid_Kit,amenities__Pets_live_on_this_property,amenities__Essentials,amenities__Laptop_Friendly_Workspace,amenities__Hair_Dryer,amenities__Gym,amenities__Safety_Card,amenities__Pool,amenities__Internet,amenities__Kitchen,amenities__Pets_Allowed,amenities__Buzzer/Wireless_Intercom,amenities__Breakfast,amenities__Washer_/_Dryer,amenities__Suitable_for_Events,amenities__Free_Parking_on_Premises,amenities__Lock_on_Bedroom_Door,amenities__Washer,amenities__Hot_Tub,amenities__Cat(s),amenities__Air_Conditioning,amenities__Indoor_Fireplace,amenities__Smoke_Detector,amenities__Wheelchair_Accessible,amenities__Family/Kid_Friendly,amenities__Fire_Extinguisher,amenities__Hangers,amenities__Smoking_Allowed,Cluster_Lon_Lat
39,39,10,0,2,Real Bed,3,3,7,strict,1,t,f,339,f,22.73605066,114.0597691,165,2,House,8,10,10,80,8,Entire home/apt,1200,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,3
40,40,8,30,4,Real Bed,4,4,1,strict,10,t,f,1,f,22.72387534,114.0306998,1125,6,House,9,8,9,87,7,Entire home/apt,1250,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,3
41,41,2,26,1,Real Bed,1,1,1,strict,1,t,f,1,t,22.74740068,114.0687079,1125,1,Apartment,10,10,10,100,10,Private room,250,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,3
42,42,6,30,1,Real Bed,1,2,1,flexible,1,t,f,1,f,22.73319908,114.060818,1125,0,Bed & Breakfast,10,9,9,90,8,Private room,300,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,3
43,43,8,0,4,Real Bed,4,5,1,flexible,1,t,f,1,f,22.71401944,114.0601983,1125,0,House,10,10,10,90,9,Entire home/apt,800,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,3
44,44,2,25,1,Real Bed,1,1,2,strict,2,t,t,2,t,22.73399907,114.0531357,30,9,House,10,10,10,100,10,Private room,85,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,3
45,45,8,21,4,Real Bed,4,5,1,moderate,1,t,f,1,f,22.69722697,114.052588,1125,0,House,9,10,8,85,8,Entire home/apt,600,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,3
46,46,5,25,2,Real Bed,4,3,1,flexible,1,t,f,1,f,22.71241256,114.045691,1125,1,House,10,10,10,80,10,Entire home/apt,200,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,3
47,47,2,0,1,Real Bed,1,1,1,flexible,1,t,f,1,t,22.72286142,114.0672642,1125,0,Condominium,10,10,10,93,9,Private room,1000,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,3
48,48,16,26,6,Real Bed,6,9,6,strict,12,t,f,14,f,22.68144348,114.0143327,1125,0,House,10,9,9,80,9,Entire home/apt,1650,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,3
